DATAFLOW,LAST UPDATE,freq,unit,icha11_hf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Germany,2022,423549.00,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Germany,2023,417845.00,p,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Denmark,2014,23135.33,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Denmark,2015,23794.79,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Denmark,2016,24432.32,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Denmark,2017,24994.31,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Denmark,2018,25567.20,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Denmark,2019,26305.24,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Denmark,2020,28147.53,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Denmark,2021,31372.89,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Denmark,2022,30505.08,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Denmark,2023,29472.96,p,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 12 countries (2001-2006),2014,800270.73,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 12 countries (2001-2006),2015,825536.90,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 12 countries (2001-2006),2016,865655.30,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 12 countries (2001-2006),2017,893360.14,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 12 countries (2001-2006),2018,922599.65,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 12 countries (2001-2006),2019,959893.27,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 12 countries (2001-2006),2020,1029474.55,p,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 12 countries (2001-2006),2021,1114435.76,p,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 12 countries (2001-2006),2022,1157187.53,p,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 18 countries (2014),2014,809496.75,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 18 countries (2014),2015,835122.73,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 18 countries (2014),2016,875785.61,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 18 countries (2014),2017,903768.63,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 18 countries (2014),2018,933850.97,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 18 countries (2014),2019,972437.30,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 18 countries (2014),2020,1043395.40,p,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 18 countries (2014),2021,1131191.11,p,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 18 countries (2014),2022,1174907.09,p,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 19 countries  (2015-2022),2014,811027.39,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 19 countries  (2015-2022),2015,836750.12,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 19 countries  (2015-2022),2016,877504.67,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 19 countries  (2015-2022),2017,905576.03,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 19 countries  (2015-2022),2018,935847.62,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 19 countries  (2015-2022),2019,974707.27,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 19 countries  (2015-2022),2020,1046010.97,p,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 19 countries  (2015-2022),2021,1134205.35,p,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area - 19 countries  (2015-2022),2022,1178153.90,p,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area – 20 countries (from 2023),2014,813438.62,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area – 20 countries (from 2023),2015,839252.04,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area – 20 countries (from 2023),2016,880131.90,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area – 20 countries (from 2023),2017,908322.90,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area – 20 countries (from 2023),2018,938767.41,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area – 20 countries (from 2023),2019,977807.47,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area – 20 countries (from 2023),2020,1049292.09,p,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area – 20 countries (from 2023),2021,1138240.89,p,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Euro area – 20 countries (from 2023),2022,1182363.90,p,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Estonia,2014,954.23,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Estonia,2015,1023.44,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Estonia,2016,1088.06,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Estonia,2017,1156.84,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Estonia,2018,1278.40,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Estonia,2019,1409.04,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Estonia,2020,1604.98,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Estonia,2021,1790.04,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Estonia,2022,1891.75,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Estonia,2023,2167.54,p,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Greece,2014,8050.27,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Greece,2015,8470.17,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Greece,2016,9049.96,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Greece,2017,8714.97,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Greece,2018,8634.00,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Greece,2019,9246.20,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Greece,2020,9716.64,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Greece,2021,10358.31,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Greece,2022,10880.96,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Spain,2014,65934.84,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Spain,2015,70153.87,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Spain,2016,71364.35,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Spain,2017,73335.84,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Spain,2018,76080.35,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Spain,2019,80227.08,,
